The antichrist, all in one picture. I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Jews are not even human beings	anti-Islam	explicit derogation and dehumanization
Atheist logic - when we die we become nothing, everything is meaningless	anti-Atheism	explicit derogation and dehumanization
Islam is a cult	anti-Islam	explicit derogation and dehumanization
Muslims be like this fr	anti-Christianity	explicit derogation and dehumanization
Jehovah is a slave owner	anti-Christianity	explicit derogation and dehumanization
I hate foreigners (mostly muslims)	anti-Islam	explicit derogation and dehumanization
I HATE THE ANTICHRIST ! I HATE MODERN SOCIETY !	anti-Christianity	explicit derogation and dehumanization
Islam is a scam	anti-Islam	explicit derogation and dehumanization
South Asian muslim are ret@rded	anti-Islam	explicit derogation and dehumanization
Islam is a cancer	anti-Islam	explicit derogation and dehumanization
Hatred for Islam	anti-Islam	explicit derogation and dehumanization
PURITANS RUINED LIFE	anti-Christianity	explicit derogation and dehumanization
Atheists bad	anti-Atheism	explicit derogation and dehumanization
I thought atheists were the ones that ate babies /s	anti-Atheism	explicit derogation and dehumanization
Christians shouldn't mourn when a fellow Christian dies.	anti-Christianity	explicit derogation and dehumanization
Non-believers blown the fuck out	anti-Christianity	explicit derogation and dehumanization
I don't believe in none of that crazy Muslim shit anyways:	anti-Islam	explicit derogation and dehumanization
Antitheist says religion is irrational	anti-Christianity	explicit derogation and dehumanization
Antitheist believes religion is irrational	anti-Christianity	explicit derogation and dehumanization
average Muslims activities	anti-Christianity	explicit derogation and dehumanization
I wonder if people who are super religious think they'll go to heaven by forcing their religion on others.	undefined	undefined
Atheists are just stupid: Atheists have nothing to live for so they try to convince believers that god doesn't exist in order to make them as miserable as them, and that they'll burn in hell because they're evil and useless.	anti-Atheism	explicit derogation and dehumanization
Most menacing Muslim	anti-Christianity	explicit derogation and dehumanization
Same sh*t, different religion	undefined	explicit derogation and dehumanization
Most menacing muslim.	anti-Islam	explicit derogation and dehumanization
I say God Hates: Bigots "aka Evangelical Protestants"	anti-Christianity	explicit derogation and dehumanization
Very religious people are the worst people to be around	undefined	explicit derogation and dehumanization
Atheists are just bigots	anti-Atheism	explicit derogation and dehumanization
Were do autistic jews go?: Concentration camp	undefined	explicit derogation and dehumanization
You are a disgusting thing. BUNCH OF INMORAL BIBLE BURNER	anti-Christianity	explicit derogation and dehumanization
The bible is a fake story made up by people who could not comprehend things that were happening at the time	anti-Christianity	explicit derogation and dehumanization
Ugh: Toxic Christianity.... I sees it over there... right there... yup that, you see it too.... That person is on a hard path... I wish that on no one. I am gonna pray for them Father forgive this person for all the pain they are about to cause, intentionally. Amen	anti-Christianity	explicit derogation and dehumanization
aThEiStS dEnY rEaLiTy	anti-Atheism	explicit derogation and dehumanization
Many Say They Are Believers; But Don't Believe The Bible !	anti-Christianity	explicit derogation and dehumanization
Atheism is a disease	anti-Atheism	explicit derogation and dehumanization
throwing Battenburg at you pagan nerds.:	anti-Christianity	explicit derogation and dehumanization
Smh at these fake christians	anti-Christianity	explicit derogation and dehumanization
Trying to know about the humanist side of V.I. Lenin, if any	anti-Christianity	undefined
I hate the antichrist	anti-Christianity	explicit derogation and dehumanization
Average catholic priest	anti-Christianity	explicit derogation and dehumanization
Religious people see signs of their gods existence in anything: They are so desperate that they will believe anything is a sign of their gods existence. Any favourable coincidence is a sure sign of gods existence for them. These huge and powerful gods sure do find stupid ways to show their existence.	anti-Christianity	explicit derogation and dehumanization
nowaday hinduism is a purely retarded religion	anti-Hinduism	explicit derogation and dehumanization
Take that religious people	anti-Christianity	explicit derogation and dehumanization
Religion is bad.	anti-Atheism	explicit derogation and dehumanization
Quit using your Religion as an excuse for your disgusting actions and behavior.	anti-Christianity	explicit derogation and dehumanization
being christian is a curse	anti-Christianity	explicit derogation and dehumanization
Christians don't be slavery apologists challenge	anti-Islam	explicit derogation and dehumanization
I hate missionaries, specifically Christian ones.	anti-Christianity	undefined
Those Christians nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
Those Christian nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
don't drink the church's communion wine, they're a cult and put rat poison in it:	anti-Christianity	explicit derogation and dehumanization
The Bible is More Evil and Cursed Than The Necronomicons	anti-Christianity	explicit derogation and dehumanization
Stay away from progressive "Christianity"	anti-Christianity	explicit derogation and dehumanization
I hate jews	undefined	explicit derogation and dehumanization
Christians be like XD	anti-Christianity	explicit derogation and dehumanization
Atheists are more annoying then religious people	anti-Atheism	explicit derogation and dehumanization
blasphemy.	anti-Christianity	explicit derogation and dehumanization
Religion is injustice.	anti-Christianity	explicit derogation and dehumanization
Muslims be like:	anti-Christianity	explicit derogation and dehumanization
I HATE THE ANTICHRIST I HATE THE ANTICHRIST I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Filthy Christians	anti-Islam	explicit derogation and dehumanization
Religion should be extinguished	anti-Christianity	explicit derogation and dehumanization
Atheism is a sin that leads to Hell	anti-Atheism	explicit derogation and dehumanization
f the orthodox	anti-Christianity	explicit derogation and dehumanization
Average "Christian"	anti-Islam	explicit derogation and dehumanization
Islam Is FRAUD! Your Prophet Was FRAUD! Muslims Worship DEMONS!	anti-Islam	explicit derogation and dehumanization
Atheism is a false religion	anti-Atheism	explicit derogation and dehumanization
ATHIESM IS A FALSE RELIGION BECAUSE SCIENCE IS FALSE	anti-Atheism	explicit derogation and dehumanization
Atheism is false religin	anti-Atheism	explicit derogation and dehumanization
I hate the antichrist, I hate the antichrist	anti-Christianity	explicit derogation and dehumanization
Narcissism disguised as evangelicalism	anti-Christianity	explicit derogation and dehumanization
I'm tired of religious bigots forcing their beliefs on other people ð	anti-Christianity	explicit derogation and dehumanization
Without Lies, Islam Dies.	anti-Islam	explicit derogation and dehumanization
antisemitism is bad	undefined	explicit derogation and dehumanization
Uh-oh, it's a meddling Christian troll! Reddit, get out your pitchforks	anti-Christianity	explicit derogation and dehumanization
Religion sucks	anti-Atheism	explicit derogation and dehumanization
Atheists be like	anti-Christianity	explicit derogation and dehumanization
I hate the antichrist!	anti-Christianity	explicit derogation and dehumanization
Atheist grooming	anti-Christianity	explicit derogation and dehumanization
i hate jesus. i hate the church. the bible is bullshit:	anti-Christianity	explicit derogation and dehumanization
Religion is the source of misogyny.	anti-Islam	explicit derogation and dehumanization
Gotta say I hate jews	undefined	explicit derogation and dehumanization
Religion is morally challenged.	undefined	implicit animosity
Common atheist Loser	anti-Christianity	explicit derogation and dehumanization
Least murderous anti-theist	anti-Atheism	explicit derogation and dehumanization
I am fed up with how oxymoronic Christianity is.	anti-Christianity	undefined
The worthlessness of atheism	anti-Atheism	explicit derogation and dehumanization
Atheists are just assholes	anti-Atheism	explicit derogation and dehumanization
Allah is a cuck that watches real Gods fuck Muslim whores	anti-Islam	explicit derogation and dehumanization
Muslims are totally okay with pedophilia, because it was the norm?	anti-Islam	explicit derogation and dehumanization
Science flies you to the moon, religion flies you into buildings	anti-Christianity	explicit derogation and dehumanization
What does this sub think of never-muslims who really dislike Islam and think it's the worst religion?: I think islam is a disgusting cult and causes the problems it thinks it's the victim of. Do you guys consider me bigoted? I'm honestly just curious if you see me as on your side or not.	anti-Islam	explicit derogation and dehumanization
With the Mormin church being a scam and based off of fairytales what else is made of fairytales and lies?	anti-Christianity	explicit derogation and dehumanization
With the Mormin LSD church believing in magical ghosts and being founded by a con man named Joesifth Smith, hoe can you help rescue a mormin from their church before they lose themselves to it?	anti-Christianity	explicit derogation and dehumanization
With Joe Smith teaching Mormins that quakers living on the moon lived up to 1000 years old, what other fairytales make a church look like a scam?	anti-Christianity	explicit derogation and dehumanization
How do you rescue a Mormin from their own fairy tale filled scam of a church?	undefined	explicit derogation and dehumanization
With Mormins LDS full of hors3 shit, how do we as a society rescue them all from their own brainwashing doom?	anti-Christianity	explicit derogation and dehumanization
