Those Christian nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
don't drink the church's communion wine, they're a cult and put rat poison in it:	anti-Christianity	explicit derogation and dehumanization
The Bible is More Evil and Cursed Than The Necronomicons	anti-Christianity	explicit derogation and dehumanization
Stay away from progressive "Christianity"	anti-Christianity	undefined
I hate jews	undefined	undefined
Christians be like XD	undefined	undefined
Atheists are more annoying then religious people	anti-Atheism	implicit animosity
blasphemy.	undefined	implicit animosity
Religion is injustice.	undefined	implicit animosity
Muslims be like:	undefined	undefined
I HATE THE ANTICHRIST I HATE THE ANTICHRIST I HATE THE ANTICHRIST	anti-Christianity	explicit derogation and dehumanization
Filthy Christians	anti-Christianity	explicit derogation and dehumanization
Religion should be extinguished	undefined	explicit derogation and dehumanization
Atheism is a sin that leads to Hell	anti-Atheism	explicit derogation and dehumanization
f the orthodox	undefined	undefined
Average "Christian"	anti-Christianity	undefined
Islam Is FRAUD! Your Prophet Was FRAUD! Muslims Worship DEMONS!	anti-Islam	explicit derogation and dehumanization
Atheism is a false religion	anti-Atheism	explicit derogation and dehumanization
ATHIESM IS A FALSE RELIGION BECAUSE SCIENCE IS FALSE	anti-Atheism	explicit derogation and dehumanization
Atheism is false religin	anti-Atheism	explicit derogation and dehumanization
I hate the antichrist, I hate the antichrist	anti-Christianity	explicit derogation and dehumanization
Narcissism disguised as evangelicalism	undefined	implicit animosity
I'm tired of religious bigots forcing their beliefs on other people ð	undefined	explicit derogation and dehumanization
Without Lies, Islam Dies.	anti-Islam	explicit derogation and dehumanization
antisemitism is bad	undefined	explicit derogation and dehumanization
Uh-oh, it's a meddling Christian troll! Reddit, get out your pitchforks	anti-Christianity	abusive humor
Religion sucks	undefined	implicit animosity
Atheists be like	undefined	undefined
I hate the antichrist!	anti-Christianity	explicit derogation and dehumanization
Atheist grooming	anti-Atheism	undefined
i hate jesus. i hate the church. the bible is bullshit:	anti-Christianity	explicit derogation and dehumanization
Religion is the source of misogyny.	undefined	implicit animosity
Gotta say I hate jews	undefined	explicit derogation and dehumanization
Religion is morally challenged.	undefined	implicit animosity
Common atheist Loser	anti-Atheism	explicit derogation and dehumanization
Least murderous anti-theist	undefined	abusive humor
I am fed up with how oxymoronic Christianity is.	anti-Christianity	implicit animosity
The worthlessness of atheism	anti-Atheism	explicit derogation and dehumanization
Atheists are just assholes	anti-Atheism	explicit derogation and dehumanization
Allah is a cuck that watches real Gods fuck Muslim whores	anti-Islam	explicit derogation and dehumanization
Muslims are totally okay with pedophilia, because it was the norm?	anti-Islam	explicit derogation and dehumanization
Science flies you to the moon, religion flies you into buildings	undefined	explicit derogation and dehumanization
What does this sub think of never-muslims who really dislike Islam and think it's the worst religion?: I think islam is a disgusting cult and causes the problems it thinks it's the victim of. Do you guys consider me bigoted? I'm honestly just curious if you see me as on your side or not.	anti-Islam	explicit derogation and dehumanization
With the Mormin church being a scam and based off of fairytales what else is made of fairytales and lies?	undefined	explicit derogation and dehumanization
With the Mormin LSD church believing in magical ghosts and being founded by a con man named Joesifth Smith, hoe can you help rescue a mormin from their church before they lose themselves to it?	undefined	explicit derogation and dehumanization
With Joe Smith teaching Mormins that quakers living on the moon lived up to 1000 years old, what other fairytales make a church look like a scam?	undefined	abusive humor
How do you rescue a Mormin from their own fairy tale filled scam of a church?	undefined	explicit derogation and dehumanization
With Mormins LDS full of hors3 shit, how do we as a society rescue them all from their own brainwashing doom?	undefined	explicit derogation and dehumanization
