Religious people see signs of their gods existence in anything: They are so desperate that they will believe anything is a sign of their gods existence. Any favourable coincidence is a sure sign of gods existence for them. These huge and powerful gods sure do find stupid ways to show their existence.	undefined	implicit animosity
nowaday hinduism is a purely retarded religion	anti-Hinduism	explicit derogation and dehumanization
Take that religious people	undefined	implicit animosity
Religion is bad.	undefined	implicit animosity
Quit using your Religion as an excuse for your disgusting actions and behavior.	undefined	explicit derogation and dehumanization
being christian is a curse	anti-Christianity	explicit derogation and dehumanization
Christians don't be slavery apologists challenge	anti-Christianity	implicit animosity
I hate missionaries, specifically Christian ones.	anti-Christianity	implicit animosity
Those Christians nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
Those Christian nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation and dehumanization
don't drink the church's communion wine, they're a cult and put rat poison in it:	anti-Christianity	threatening language
The Bible is More Evil and Cursed Than The Necronomicons	anti-Christianity	explicit derogation and dehumanization
Stay away from progressive "Christianity"	anti-Christianity	implicit animosity
I hate jews	undefined	undefined
Christians be like XD	anti-Christianity	implicit animosity
Atheists are more annoying then religious people	anti-Atheism	implicit animosity
blasphemy.	undefined	explicit derogation and dehumanization
Religion is injustice.	undefined	undefined
Muslims be like:	undefined	implicit animosity
I HATE THE ANTICHRIST I HATE THE ANTICHRIST I HATE THE ANTICHRIST	anti-Christianity	implicit animosity
Filthy Christians	anti-Christianity	implicit animosity
Religion should be extinguished	anti-Christianity	implicit animosity
Atheism is a sin that leads to Hell	anti-Atheism	undefined
f the orthodox	anti-Christianity	explicit derogation and dehumanization
Average "Christian"	anti-Christianity	implicit animosity
Islam Is FRAUD! Your Prophet Was FRAUD! Muslims Worship DEMONS!	anti-Islam	explicit derogation and dehumanization
Atheism is a false religion	anti-Atheism	implicit animosity
ATHIESM IS A FALSE RELIGION BECAUSE SCIENCE IS FALSE	anti-Atheism	implicit animosity
Atheism is false religin	anti-Atheism	undefined
I hate the antichrist, I hate the antichrist	anti-Christianity	undefined
Narcissism disguised as evangelicalism	undefined	implicit animosity
I'm tired of religious bigots forcing their beliefs on other people ð	anti-Christianity	implicit animosity
Without Lies, Islam Dies.	anti-Islam	implicit animosity
antisemitism is bad	undefined	undefined
Uh-oh, it's a meddling Christian troll! Reddit, get out your pitchforks	anti-Christianity	threatening language
Religion sucks	undefined	undefined
Atheists be like	undefined	implicit animosity
I hate the antichrist!	anti-Christianity	implicit animosity
Atheist grooming	anti-Atheism	explicit derogation and dehumanization
i hate jesus. i hate the church. the bible is bullshit:	anti-Christianity	explicit derogation and dehumanization
Religion is the source of misogyny.	undefined	implicit animosity
Gotta say I hate jews	undefined	explicit derogation and dehumanization
Religion is morally challenged.	undefined	undefined
Common atheist Loser	anti-Atheism	explicit derogation and dehumanization
Least murderous anti-theist	anti-Atheism	implicit animosity
I am fed up with how oxymoronic Christianity is.	anti-Christianity	undefined
The worthlessness of atheism	anti-Atheism	implicit animosity
Atheists are just assholes	anti-Atheism	explicit derogation and dehumanization
Allah is a cuck that watches real Gods fuck Muslim whores	anti-Islam	explicit derogation and dehumanization
Muslims are totally okay with pedophilia, because it was the norm?	anti-Islam	explicit derogation and dehumanization
Science flies you to the moon, religion flies you into buildings	anti-Christianity	implicit animosity
What does this sub think of never-muslims who really dislike Islam and think it's the worst religion?: I think islam is a disgusting cult and causes the problems it thinks it's the victim of. Do you guys consider me bigoted? I'm honestly just curious if you see me as on your side or not.	anti-Islam	explicit derogation and dehumanization
With the Mormin church being a scam and based off of fairytales what else is made of fairytales and lies?	anti-Christianity	explicit derogation and dehumanization
With the Mormin LSD church believing in magical ghosts and being founded by a con man named Joesifth Smith, hoe can you help rescue a mormin from their church before they lose themselves to it?	anti-Christianity	explicit derogation and dehumanization
With Joe Smith teaching Mormins that quakers living on the moon lived up to 1000 years old, what other fairytales make a church look like a scam?	undefined	implicit animosity
How do you rescue a Mormin from their own fairy tale filled scam of a church?	anti-Christianity	implicit animosity
With Mormins LDS full of hors3 shit, how do we as a society rescue them all from their own brainwashing doom?	anti-Christianity	explicit derogation and dehumanization
