text	true_stance	true_category	Mistral-7B-Instruct-v0-1_stance	Mistral-7B-Instruct-v0-1_category	Qwen3-235B-A22B_stance	Qwen3-235B-A22B_category	DeepSeek-R1-Zero_stance	DeepSeek-R1-Zero_category	Claude3-5_Haiku_stance	Claude3-5_Haiku_category	Falcon3-7B-Instruct_stance	Falcon3-7B-Instruct_category	Gemini_2_5_Flash_stance	Gemini_2_5_Flash_category	deepseek-V3_stance	deepseek-V3_category	Yi-9B_stance	Yi-9B_category	Llama-3-8B-Instruct_stance	Llama-3-8B-Instruct_category	GPT-4_1_stance	GPT-4_1_category	SEA_LION_stance	SEA_LION_category
Atheism is just as dumb as Wicca	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
Buddhism is all about Pedophilia	anti-Buddhism	explicit derogation	anti-Buddhism	explicit derogation and dehumanization	anti-Buddhism	dehumanization  	anti-Buddhism	explicit derogation	anti-Buddhism	explicit derogation, dehumanization	anti-Buddhism	explicit derogation and dehumanization	anti-Buddhism	explicit derogation, dehumanization	anti-Buddhism	explicit derogation	anti-Buddhism	explicit derogation and dehumanization	anti-Buddhism	explicit derogation and dehumanization	anti-Buddhism	explicit derogation	anti-Buddhism	explicit derogation and dehumanization
Pacifists be like	undefined	implicit anomosity	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	undefined	undefined	implicit animosity	undefined	undefined	undefined	implicit animosity	undefined	undefined	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	undefined	undefined	undefined
fuck all catholics and fuck all swedes	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Catholicism	abusive humor  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
Fuck off atheists	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	threatening language  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization
Eat shit satanist	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	threatening language  	undefined	abusive humor	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	abusive humor	undefined	undefined	undefined	explicit derogation	undefined	explicit derogation and dehumanization
I wanted to tell a joke about Islam: But I blew up	anti-Islam	abusive humor	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	abusive humor	anti-Islam	abusive humor	anti-Islam	explicit derogation and dehumanization	anti-Islam	abusive humor	anti-Islam	abusive humor	undefined	abusive humor	undefined	undefined	anti-Islam	abusive humor	undefined	undefined
average atheist	anti-Atheism	implicit anomosity	anti-Atheism	undefined	anti-Atheism	implicit animosity  	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	abusive humor	anti-Atheism	undefined	undefined	undefined	anti-Atheism	implicit animosity	undefined	undefined
It's not offensive or edgy to refer to religions as stupid useless fairy tales.	undefined	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	implicit animosity	undefined	explicit derogation and dehumanization	undefined	undefined	undefined	implicit animosity	undefined	explicit derogation and dehumanization
Fuck Mega churches: They ruin people's views on Christianity, are a scam and try to force beliefs onto people.	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	threatening language  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
The antichrist, all in one picture. I HATE THE ANTICHRIST	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
Jews are not even human beings	undefined	dehumanization	undefined	explicit derogation and dehumanization	anti-Hinduism	dehumanization  	undefined	dehumanization	undefined	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	undefined	explicit derogation, dehumanization	undefined	dehumanization	undefined	explicit derogation and dehumanization	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation, dehumanization	undefined	explicit derogation and dehumanization
Atheist logic - when we die we become nothing, everything is meaningless	anti-Atheism	abusive humor	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity  	anti-Atheism	explicit derogation	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation	undefined	implicit animosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
Islam is a cult	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	implicit animosity
Muslims be like this fr	anti-Islam	implicit anomosity	undefined	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	implicit animosity	anti-Islam	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	abusive humor	undefined	undefined	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	implicit animosity
Jehovah is a slave owner	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
I hate foreigners (mostly muslims)	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	implicit animosity
I HATE THE ANTICHRIST ! I HATE MODERN SOCIETY !	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
Islam is a scam	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Christianity	implicit animosity
South Asian muslim are ret@rded	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization
Islam is a cancer	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization
Hatred for Islam	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	undefined	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	implicit animosity
PURITANS RUINED LIFE	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation	undefined	undefined	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Atheists bad	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
I thought atheists were the ones that ate babies /s	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	abusive humor  	anti-Atheism	abusive humor	anti-Atheism	abusive humor, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	abusive humor, dehumanization	anti-Atheism	abusive humor	undefined	abusive humor	anti-Atheism	abusive humor	anti-Atheism	abusive humor	undefined	explicit derogation and dehumanization
Christians shouldn't mourn when a fellow Christian dies.	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Non-believers blown the fuck out	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	threatening language  	undefined	threatening language	anti-Atheism	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	undefined	abusive humor	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation and dehumanization
Antitheist says religion is irrational	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	implicit animosity	anti-Atheism	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	undefined
Antitheist believes religion is irrational	anti-Atheism	explicit derogation	anti-Atheism	undefined	undefined	implicit animosity  	undefined	explicit derogation	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	implicit animosity	anti-Atheism	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	undefined
average Muslims activities	anti-Islam	implicit anomosity	undefined	undefined	anti-Islam	implicit animosity  	anti-Islam	implicit animosity	anti-Islam	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	abusive humor	anti-Islam	undefined	undefined	undefined	anti-Islam	implicit animosity	undefined	undefined
I wonder if people who are super religious think they'll go to heaven by forcing their religion on others.	undefined	implicit anomosity	anti-Christianity	implicit animosity	undefined	implicit animosity  	undefined	implicit animosity	undefined	implicit animosity	undefined	undefined	undefined	implicit animosity	undefined	implicit animosity	undefined	undefined	undefined	undefined	undefined	implicit animosity	undefined	implicit animosity
Atheists are just stupid: Atheists have nothing to live for so they try to convince believers that god doesn't exist in order to make them as miserable as them, and that they'll burn in hell because they're evil and useless.	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization
Most menacing Muslim	anti-Islam	implicit anomosity	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	implicit animosity	anti-Islam	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	abusive humor	anti-Islam	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	explicit derogation and dehumanization
Most menacing muslim.	anti-Islam	implicit anomosity	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	implicit animosity	anti-Islam	implicit animosity	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	abusive humor	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	explicit derogation and dehumanization
"I say God Hates: Bigots ""aka Evangelical Protestants"""	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
Very religious people are the worst people to be around	undefined	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	implicit animosity	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	explicit derogation	undefined	implicit animosity	undefined	implicit animosity	undefined	implicit animosity	undefined	implicit animosity	undefined	implicit animosity
Atheists are just bigots	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation and dehumanization
Were do autistic jews go?: Concentration camp	undefined	abusive humor	undefined	explicit derogation and dehumanization	anti-Hinduism	dehumanization  	undefined	dehumanization	undefined	explicit derogation, dehumanization, threatening language	undefined	explicit derogation and dehumanization	undefined	explicit derogation, dehumanization, threatening language	undefined	dehumanization	undefined	explicit derogation and dehumanization	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation, dehumanization, threatening language	undefined	explicit derogation and dehumanization
You are a disgusting thing. BUNCH OF INMORAL BIBLE BURNER	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	dehumanization  	undefined	threatening language	undefined	explicit derogation, dehumanization	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation, dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
The bible is a fake story made up by people who could not comprehend things that were happening at the time	anti-Christianity	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
aThEiStS dEnY rEaLiTy	anti-Atheism	implicit anomosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity  	anti-Atheism	explicit derogation	anti-Atheism	abusive humor	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	abusive humor	anti-Atheism	abusive humor	undefined	abusive humor	undefined	undefined	anti-Atheism	abusive humor	anti-Christianity	implicit animosity
Many Say They Are Believers; But Don't Believe The Bible !	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	anti-Christianity	implicit animosity	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	undefined	undefined
Atheism is a disease	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	implicit animosity
Smh at these fake christians	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity  	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	anti-Christianity	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Trying to know about the humanist side of V.I. Lenin, if any	undefined	undefined	anti-Atheism	undefined	undefined	implicit animosity  	undefined	undefined	undefined	undefined	anti-Christianity	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
I hate the antichrist	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Average catholic priest	anti-Christianity	implicit anomosity	undefined	undefined	anti-Christianity	implicit animosity  	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	abusive humor	undefined	undefined	undefined	undefined	anti-Christianity	implicit animosity	undefined	undefined
Religious people see signs of their gods existence in anything: They are so desperate that they will believe anything is a sign of their gods existence. Any favourable coincidence is a sure sign of gods existence for them. These huge and powerful gods sure do find stupid ways to show their existence.	undefined	implicit anomosity	anti-Atheism	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	implicit animosity	anti-Atheism	explicit derogation and dehumanization	undefined	explicit derogation and dehumanization	undefined	implicit animosity	undefined	implicit animosity
nowaday hinduism is a purely retarded religion	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation and dehumanization	anti-Hinduism	explicit derogation  	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation and dehumanization	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation and dehumanization	anti-Hinduism	explicit derogation and dehumanization	anti-Hinduism	explicit derogation	anti-Hinduism	explicit derogation and dehumanization
Religion is bad.	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	implicit animosity	undefined	undefined	undefined	implicit animosity	undefined	implicit animosity
Quit using your Religion as an excuse for your disgusting actions and behavior.	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	implicit animosity	undefined	implicit animosity	undefined	undefined	undefined	implicit animosity	undefined	explicit derogation and dehumanization
being christian is a curse	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
I hate missionaries, specifically Christian ones.	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	undefined	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity
